external_id,game,set_code,collector_number,name,condition,printing,language,quantity,cost,date_acquired,comment
5c3a6ce7-1ec7-414f-b6bb-cc604c6d529c,mtg,MOC,198,Path to Exile,LP,normal,en,1,0.0946,2026-06-20,airtable:Path to Exile
89903d5e-241f-477e-a336-2abe0232c04a,mtg,CMR,155,"Tormod, the Desecrator",NM,normal,en,1,0.0946,2026-06-20,"airtable:Tormod, the Desecrator"
5b46b8d8-723a-4752-b97d-29ef83bd294c,mtg,MH2,246,Drossforge Bridge,LP,normal,en,3,9460.5,2026-06-20,[CHECK] cost $9460.50 >> market $1.00 (verify) | airtable:Drossforge Bridge
3fdd9981-bb5e-450d-90c3-4405a7097939,mtg,7ED,105,Tolarian Winds,MP,normal,en,1,0.0946,2026-06-20,airtable:Tolarian Winds
33b9cd6c-d75c-4905-aa38-ff03a9c4b398,mtg,OTJ,173,Outcaster Trailblazer,NM,normal,en,1,0.0946,2026-06-20,airtable:Outcaster Trailblazer
e9091667-d5a8-4978-9023-032ff65f9642,mtg,TMP,201,Searing Touch,LP,normal,en,6,0.0946,2026-06-20,airtable:Searing Touch
301f13dd-39b8-4a93-9c05-3dc4fa1f1c75,mtg,WWK,90,Searing Blaze,LP,normal,en,2,0.0946,2026-06-20,airtable:Searing Blaze
97b34ce8-1eb2-44eb-813a-09d0308e27a0,mtg,VIS,109,Katabatic Winds,MP,normal,en,1,0.0946,2026-06-20,airtable:Katabatic Winds
8cbab1d1-25cb-456f-8d1c-3d64eb7265ea,mtg,DSC,73,Ponder,LP,normal,en,1,0.0946,2026-06-20,airtable:Ponder
afa4c889-0577-4173-9f85-42a7bf675aaf,mtg,VOC,84,Darksteel Mutation,NM,normal,en,1,0.0946,2026-06-20,airtable:Darksteel Mutation
0bb91a22-2040-4a37-85f8-5f22de8c5907,mtg,MKM,208,Insidious Roots,LP,normal,en,1,0.0946,2026-06-20,airtable:Insidious Roots
b43c6172-2400-4038-8b8b-c62f2fbfce39,mtg,JUD,72,Stitch Together,HP,normal,en,1,0.0946,2026-06-20,airtable:Stitch Together
2255d1e4-f387-4187-8c10-7d0009f6ec79,mtg,CLB,295,Thrakkus the Butcher,NM,foil,en,1,0.0946,2026-06-20,airtable:Thrakkus the Butcher
a86f3cb2-7822-4c19-bd84-cea177e5b6e9,mtg,LCI,16,Guardian of the Great Door,LP,foil,en,1,0.0946,2026-06-20,airtable:Gnome // Gnome Soldier Double-Sided Token
89396f5e-5bc3-4c8a-976b-2cb2946eb35d,mtg,DMR,4,Congregate,LP,normal,en,1,0.0946,2026-06-20,airtable:Marit Lage Token
